Observer;Item1;Item2;Item3;Winner;Middle;Loser;Village;Age;Questions
A1;VarA;VarH;VarB;3;1;2;A;32;Question1
A2;VarC;VarB;VarE;2;3;1;A;38;Question1
A3;VarH;VarA;VarG;2;1;3;A;39;Question1
A4;VarA;VarC;VarH;1;2;3;A;29;Question1
A5;VarG;VarB;VarE;2;3;1;A;38;Question1
A6;VarC;VarF;VarB;3;2;1;A;34;Question1
A7;VarG;VarC;VarH;2;1;3;A;35;Question1
A8;VarG;VarH;VarD;3;2;1;A;36;Question1
A9;VarE;VarG;VarD;1;3;2;A;39;Question1
A10;VarD;VarE;VarG;2;1;3;A;37;Question1
A11;VarE;VarC;VarH;1;2;3;A;36;Question1
A12;VarC;VarF;VarB;3;2;1;A;38;Question1
A13;VarE;VarD;VarG;2;1;3;A;33;Question1
A14;VarC;VarH;VarF;3;1;2;A;40;Question1
A15;VarD;VarA;VarH;2;1;3;A;36;Question1
A16;VarF;VarG;VarE;3;1;2;A;39;Question1
A17;VarF;VarG;VarB;3;1;2;A;30;Question1
A18;VarG;VarF;VarE;2;3;1;A;33;Question1
A19;VarE;VarB;VarF;2;3;1;A;36;Question1
A20;VarE;VarB;VarG;2;1;3;A;33;Question1
A21;VarG;VarA;VarC;2;3;1;A;36;Question1
A22;VarH;VarC;VarE;2;3;1;A;20;Question1
A23;VarA;VarG;VarC;1;3;2;A;27;Question1
A24;VarA;VarD;VarB;3;1;2;A;32;Question1
A25;VarA;VarD;VarF;1;3;2;A;39;Question1
A26;VarA;VarB;VarD;2;1;3;A;31;Question1
A27;VarE;VarA;VarH;2;1;3;A;39;Question1
A28;VarH;VarC;VarB;3;2;1;A;24;Question1
A29;VarB;VarH;VarA;3;1;2;A;38;Question1
A30;VarD;VarA;VarF;2;3;1;A;45;Question1
A31;VarD;VarH;VarG;1;2;3;A;39;Question1
A32;VarG;VarC;VarE;2;3;1;A;39;Question1
A33;VarD;VarC;VarF;3;1;2;A;34;Question1
A34;VarB;VarH;VarE;1;3;2;A;31;Question1
A35;VarE;VarA;VarH;2;1;3;A;33;Question1
A36;VarA;VarD;VarE;1;3;2;A;25;Question1
A37;VarH;VarF;VarA;3;2;1;A;33;Question1
A38;VarC;VarE;VarA;3;2;1;A;42;Question1
A39;VarC;VarE;VarF;3;1;2;A;35;Question1
A40;VarC;VarE;VarF;3;2;1;A;33;Question1
A41;VarB;VarC;VarH;1;3;2;A;40;Question1
A42;VarD;VarB;VarG;2;1;3;A;38;Question1
A43;VarD;VarF;VarC;1;2;3;A;39;Question1
A44;VarC;VarD;VarB;3;2;1;A;40;Question1
A45;VarE;VarF;VarA;2;1;3;A;46;Question1
A46;VarE;VarB;VarH;2;1;3;A;41;Question1
A47;VarB;VarA;VarC;1;2;3;A;32;Question1
A48;VarF;VarD;VarB;3;1;2;A;33;Question1
A49;VarE;VarH;VarF;3;1;2;A;32;Question1
A50;VarG;VarF;VarH;2;3;1;A;28;Question1
A51;VarB;VarC;VarE;1;2;3;A;33;Question1
A52;VarD;VarE;VarC;2;1;3;A;37;Question1
A53;VarG;VarB;VarH;2;3;1;A;35;Question1
A54;VarG;VarE;VarB;3;2;1;A;25;Question1
A55;VarC;VarE;VarA;3;1;2;A;32;Question1
A56;VarD;VarG;VarF;3;1;2;A;31;Question1
A57;VarH;VarA;VarC;2;3;1;A;35;Question1
A58;VarA;VarG;VarD;1;3;2;A;38;Question1
A59;VarD;VarH;VarG;1;2;3;A;32;Question1
A60;VarG;VarF;VarE;2;3;1;A;43;Question1
A61;VarB;VarD;VarA;3;1;2;A;35;Question1
A62;VarG;VarE;VarF;2;3;1;A;35;Question1
A63;VarA;VarH;VarF;1;3;2;A;36;Question1
A64;VarE;VarG;VarD;1;3;2;A;35;Question1
A65;VarD;VarH;VarE;3;1;2;A;46;Question1
A66;VarE;VarH;VarD;1;3;2;A;31;Question1
A67;VarD;VarE;VarB;3;2;1;A;35;Question1
A68;VarE;VarB;VarC;2;3;1;A;32;Question1
A69;VarD;VarH;VarG;1;2;3;A;41;Question1
A70;VarH;VarG;VarB;3;1;2;A;37;Question1
A71;VarH;VarG;VarC;1;3;2;A;50;Question1
A72;VarB;VarH;VarC;1;3;2;A;31;Question1
A73;VarE;VarH;VarC;1;3;2;A;37;Question1
A74;VarE;VarH;VarD;3;1;2;A;40;Question1
A75;VarC;VarB;VarD;2;1;3;A;35;Question1
A76;VarD;VarB;VarH;2;1;3;A;33;Question1
A77;VarB;VarH;VarC;1;3;2;A;27;Question1
A78;VarB;VarG;VarC;1;3;2;A;42;Question1
A79;VarH;VarF;VarC;2;3;1;A;33;Question1
A80;VarG;VarD;VarE;3;2;1;A;31;Question1
A81;VarD;VarH;VarA;3;1;2;A;47;Question1
A82;VarD;VarA;VarF;2;1;3;A;37;Question1
A83;VarH;VarG;VarD;3;1;2;A;32;Question1
A84;VarD;VarA;VarE;2;1;3;A;23;Question1
A85;VarD;VarE;VarA;3;2;1;A;37;Question1
A86;VarH;VarF;VarG;2;3;1;A;36;Question1
A87;VarF;VarC;VarB;3;1;2;A;41;Question1
A88;VarE;VarF;VarD;2;1;3;A;36;Question1
A89;VarG;VarH;VarA;3;2;1;A;35;Question1
A90;VarA;VarC;VarG;1;2;3;A;40;Question1
A91;VarE;VarA;VarF;2;3;1;A;31;Question1
A92;VarF;VarH;VarE;1;3;2;A;28;Question1
A93;VarD;VarC;VarG;2;1;3;A;32;Question1
A94;VarB;VarH;VarF;1;3;2;A;39;Question1
A95;VarH;VarF;VarA;3;2;1;A;32;Question1
A96;VarD;VarB;VarH;2;3;1;A;24;Question1
A97;VarC;VarF;VarA;3;1;2;A;19;Question1
A98;VarD;VarE;VarG;2;1;3;A;36;Question1
A99;VarE;VarC;VarG;1;2;3;A;44;Question1
A100;VarA;VarC;VarD;1;3;2;A;29;Question1
A101;VarH;VarG;VarE;3;1;2;A;37;Question1
A102;VarF;VarA;VarG;2;1;3;A;34;Question1
A103;VarF;VarC;VarA;3;1;2;A;34;Question1
