ClimMob - Create randomization	ClimMob - Crear aleatorización
Create randomization	Crear aleatorización
Identifier (prepended to file name and observer IDs):	Identificador (prefijo para nombre de archivo e IDs de observadores):
Number of observers:	Número de observadores:
Number of items each observer compares:	Número de elementos que cada observador compara:
Names of items:	Nombres de los elementos:
Select folder to write to:	Seleccione una carpeta para grabar:
Decimal separator:	Separador decimal:
Dot	Punto
Comma	Coma
Format:	Formato:
Excel	Excel
Standard	Estándar
Create randomization	Crear aleatorización
Complete the remaining blanks on the form.	Complete los vacíos en el formulario.
ClimMobRandomization.csv	ClimMobAleatorizacion.csv
File written to disk: 	Archivo grabado: 
Observer	Observador
Item	Objeto
Done	Acción completada
